"","Common.Name","Specific.Epithet","Guild","Foraging.Type","Prey","Remarks"
"134","Grey Wagtail","Motacilla cinerea","Insectivore","Active","Crustaeceans","Primarily insects"
"135","Grey Wagtail","Motacilla cinerea","Insectivore","Active","Mollusca","Primarily insects"
"136","Grey Wagtail","Motacilla cinerea","Insectivore","Active","Spiders","Primarily insects"
"137","Yellow Wagtail","Motacilla flava","Insectivore","Active","Insects","Terrestrial and aquatic invertebrates"
"138","Yellow Wagtail","Motacilla flava","Insectivore","Active","Crustaeceans","Terrestrial and aquatic invertebrates"
"139","Yellow Wagtail","Motacilla flava","Insectivore","Active","Seeds","Terrestrial and aquatic invertebrates"
"140","Red Wattled Lapwing","Vanellus indicus","Insectivore","Active","Insects",""
"141","Red Wattled Lapwing","Vanellus indicus","Insectivore","Active","Worms",""
"142","Red Wattled Lapwing","Vanellus indicus","Insectivore","Active","Crustaeceans",""
"143","Red Wattled Lapwing","Vanellus indicus","Insectivore","Active","Molluscs",""
"144","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Fruits",""
"145","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Nectar",""
"146","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Insects",""
"147","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Worms",""
"148","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Spiders",""
"149","Indian Scimitar Babler","Pomatorhinus horsfieldii","Omnivore","Active","Insects",""
"150","Indian Scimitar Babler","Pomatorhinus horsfieldii","Omnivore","Active","Spiders",""
"151","Indian Scimitar Babler","Pomatorhinus horsfieldii","Omnivore","Active","Fruits",""
"152","Indian Scimitar Babler","Pomatorhinus horsfieldii","Omnivore","Active","Nectar",""
"153","Blyth's Reed Warbler","Acrocephalus dumetorum","Insectivore","Active","Insects",""
"154","Scarlet Minivet","Pericrocotus speciosus","Insectivore","Active","Insects",""
"155","Scarlet Minivet","Pericrocotus speciosus","Insectivore","Active","Spiders",""
"156","Malabar Crested lark","Galerida malabarica","","Active","Insects",""
"157","Malabar Crested lark","Galerida malabarica","","Active","Seeds",""
"158","Common Kingfisher","Alcedo atthis","Carnivore","Active","Fish",""
"159","Common Kingfisher","Alcedo atthis","Carnivore","Active","Insects",""
"160","Koel","Eudynamys scolopaceus","Frugivore","Browser","Fruits",""
"161","Koel","Eudynamys scolopaceus","Frugivore","Browser","Nectar",""
"162","Robin, Magpie","Copsychus saularis","Insectivore","Active","Insects",""
"163","Robin, Magpie","Copsychus saularis","Insectivore","Active","Worms",""
"164","Robin, Magpie","Copsychus saularis","Insectivore","Active","Molluscs",""
"165","Robin, Magpie","Copsychus saularis","Insectivore","Active","Arthopods",""
"166","Robin, Magpie","Copsychus saularis","Insectivore","Active","Crustaeceans",""
"167","Robin, Magpie","Copsychus saularis","Insectivore","Active","Spiders",""
"168","Robin, Magpie","Copsychus saularis","Insectivore","Active","Small reptiles",""
"169","Purple Rumped Sunbird","Leptocoma zeylonica","Insectivore","Active","Insects",""
"170","Purple Rumped Sunbird","Leptocoma zeylonica","Insectivore","Active","Spiders",""
"171","Purple Rumped Sunbird","Leptocoma zeylonica","Insectivore","Active","Nectar",""
"172","Purple Rumped Sunbird","Leptocoma zeylonica","Insectivore","Active","Fruits",""
"173","Forest Wagtail","Dendronanthus indicus","Insectivore","Active","Insects",""
"174","Forest Wagtail","Dendronanthus indicus","Insectivore","Active","Spiders",""
"175","Forest Wagtail","Dendronanthus indicus","Insectivore","Active","Moluscs",""
"176","Forest Wagtail","Dendronanthus indicus","Insectivore","Active","Worms",""
"177","Asian Paradise Flycatcher","Terpsiphone paradis","Insectivore","Active","Insects",""
"178","Asian Paradise Flycatcher","Terpsiphone paradis","Insectivore","Active","Spiders",""
"179","Yellow Browed Bulbul","Iole indica","Omnivore","Active","Fruits",""
"180","Yellow Browed Bulbul","Iole indica","Omnivore","Active","Seeds",""
"181","Yellow Browed Bulbul","Iole indica","Omnivore","Active","Insects",""
"182","Yellow Browed Bulbul","Iole indica","Omnivore","Active","Spiders",""
"183","Common Myna","Acridotheres tristis","Insectivore","Active","Insects",""
"184","House Swift","Apus nipalensis","Insectivore","Active","Insects",""
"185","Pond Heron","Ardeola grayii","Carnivore","Active","Fish",""
