Common Name,Family,Specific Epithet,Hostplant Family,Hostplant Name,Country,Source
Yellow Pansy,Nymphalidae,Junonia hierta,Acanthaceae,Ruellia,India,HOSTS
Lemon Pansy,Nymphalidae,Junonia lemonias,Tiliaceae,Corchorus,India,HOSTS
Lemon Pansy,Nymphalidae,Junonia lemonias,Acanthaceae,Hygrophila costata,India,HOSTS
Lemon Pansy,Nymphalidae,Junonia lemonias,Acanthaceae,Nelsonia canescens,India,HOSTS
Lemon Pansy,Nymphalidae,Junonia lemonias,Malvaceae,Sida rhombifolia,India,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis,India,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis formosana,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis heydeana,India,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis heydeana,West Malaysia,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis lanceolaris,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis obovata,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis sikkimensis,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis spinosa,India,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis tomentosa,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Capparis zeylanica,Philippines,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Cleome gynandra,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Cleome rutidosperma,Philippines,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Cleome viscosa,Andaman Islands,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Cleome viscosa,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Crateva adansonii,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Crateva religiosa,India,HOSTS
Psyche,Pieridae,Leptosia nina,Capparaceae,Crateva religiosa,West Malaysia,HOSTS
Psyche,Pieridae,Leptosia nina,Rhamnaceae,Rhamnus parvifolia,Taiwan,HOSTS
Spotted Flat,Hesperiidae,Celaenorrhinus ambareesa,Acanthaceae,Strobilanthes callosus,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,,Andaman Islands,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Flacourtia,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Flacourtia,West Malaysia,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Flacourtia,West Malaysia,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Flacourtia montana,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Flacourtia ramontchii,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Flacourtia rukam,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Euphorbiaceae,Glochidion eriocarpum,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Homalium cochinchinensis,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Sapindaceae,Lepisanthes rubiginosum,West Malaysia,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Sapindaceae,Lepisanthes rubiginosum,West Malaysia,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Rosaceae,Photinia benthamiana ?,Oriental,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Salicaceae,Salix babylonica,Taiwan,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Salicaceae,Salix babylonica,Taiwan,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Scolopia chinensis,China,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Scolopia chinensis,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Scolopia crenata,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Scolopia oldhami,Taiwan,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Scolopia oldhami,Taiwan,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Scolopia saeva,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Flacourtiaceae,Xylosma racemosa,China,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Asclepiadaceae,Calotropis,Oriental,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Asclepiadaceae,Ceropegia,Andaman Islands,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Asclepiadaceae,Cryptolepis buchanani,Oriental,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Asclepiadaceae,Cynanchum lanhsuense,Taiwan,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Asclepiadaceae,Tylophora flexuosa,Oriental,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Asclepiadaceae,Tylophora flexuosa,West Malaysia,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Asclepiadaceae,Tylophora ovata,Hong Kong,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Asclepiadaceae,Tylophora ovata,Oriental,HOSTS
