Common.Name,Family,Specific.Epithet,Guild,Hostplant.Family,Hostplant.Name,Country,Source
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Canavalia ensiformis,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Canavalia ensiformis,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Lablab purpureus,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Lablab purpureus,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Phaseolus,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Phaseolus,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Vigna radiata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Vigna radiata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Vigna trilobata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Vigna trilobata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Vigna unguiculata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Vigna unguiculata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Tree Specialist,Leguminosae (p),Vigna unguiculata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Generalist,Leguminosae (p),Vigna unguiculata,India,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Generalist,Rhamnaceae,,Oriental,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Generalist,Rubiaceae,,Oriental,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Generalist,Rutaceae,,Oriental,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Generalist,Sapindaceae,,Oriental,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Generalist,Verbenaceae,,Oriental,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae,,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (c),Cassia auriculata,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (c),Cassia fistula,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (c),Cassia javanica,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (p),Ormocarpum cochinchinense,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (c),Senna obtusifolia,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (c),Senna occidentalis,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (c),Senna sophera,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (c),Senna sulfurea,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (p),Sesbania,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (p),Sesbania,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (p),Sesbania bispinosa,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (p),Sesbania grandiflora,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Generalist,Leguminosae (p),Sesbania sesban,India,HOSTS
Yellow Pansy,Nymphalidae,Junonia hierta,Herb Specialist,Acanthaceae,Asystasia,India,HOSTS
Yellow Pansy,Nymphalidae,Junonia hierta,Herb Specialist,Acanthaceae,Eremomastax,India,HOSTS
